Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,162.2743377685547,153.56300354003906,134.25184631347656,290.72125244140625,290.1433410644531,162.569170605232,154.4499969482422,134.9421945520576,291.0618067098429,292.28668212890625,159.63069449285575,150.85000610351562,131.8020307532934,285.08760175802655,271.57000732421875,160.249841950296,152.4250030517578,132.25680755246233,286.3622231310244,271.6700134277344,95056600,57684000,38864000,34627500,99006900
2022-03-01,160.38739013671875,151.14199829101562,133.26226806640625,286.9849853515625,288.1233215332031,163.72880315787341,154.0989990234375,135.44318849556387,291.8694112336757,296.6266784667969,159.17859229169264,149.9770050048828,132.42430658177463,284.2605806030305,284.59332275390625,161.86153897068826,152.7324981689453,134.0743987504672,288.39581076836447,289.8933410644531,83474400,44874000,26496000,31217800,74766900
2022-03-02,163.6895294189453,152.05250549316406,133.76925659179688,292.08343505859375,293.2966613769531,164.4757453471119,152.99949645996094,134.45613150205136,293.3288677421849,295.49334716796875,160.14174297698963,148.75,132.2781988204011,285.76870563477496,281.42333984375,161.5569286485252,150.8489990234375,133.82542304410276,287.3838515564128,290.7099914550781,79724800,47334000,23520000,31873000,74643300
2022-03-03,163.36521911621094,147.89849853515625,133.10125732421875,287.92877197265625,279.7633361816406,165.99904029600498,153.9290008544922,135.62610831919423,294.9440595212997,295.4800109863281,162.6969453068408,146.8560028076172,132.23245958696376,286.1092458840399,277.5333251953125,165.56662077426103,153.531494140625,135.19916443560246,294.71055015953465,292.92333984375,76678400,65198000,24604000,27314500,61623600
2022-03-04,160.35797119140625,145.64100646972656,131.1201171875,282.0323486328125,279.42999267578125,162.69695972309876,147.85000610351562,133.05352910890412,287.6757380929094,285.2166748046875,159.30641907564566,143.8070068359375,129.5604707332503,279.41501910209644,275.0533447265625,161.65522987158562,147.15899658203125,132.13504165400857,286.34273954173915,283.0333251953125,83737200,60934000,30430000,32356500,66999600
2022-03-07,156.55462646484375,137.4530029296875,125.6250991821289,271.3780822753906,268.1933288574219,162.17604917250483,146.09449768066406,130.94966524895213,281.86696885975545,288.71331787109375,156.2990977080652,137.41650390625,125.54209326462669,271.0083393654953,268.19000244140625,160.54465401699207,145.44349670410156,130.70414367990537,280.7382909166113,285.4333190917969,96418800,86934000,45112000,43157200,72494100
2022-03-08,154.72669982910156,136.01449584960938,126.34675598144531,268.4007568359375,274.79998779296875,160.0729499038518,140.69949340820312,130.46754242732567,276.2917343894087,283.3299865722656,153.1149639973743,133.57249450683594,124.92528073964256,262.70872844754865,260.72332763671875,156.08292186895505,136.68350219726562,125.49735033485614,270.29807983642723,265.1766662597656,131148300,91662000,40428000,48159500,80399100
2022-03-09,160.14173889160156,139.2790069580078,132.62461853027344,280.70904541015625,286.3233337402344,160.59381791240634,140.25,132.93824363151364,281.77934580274973,286.85333251953125,156.66275336768058,136.8280029296875,129.1260992043819,273.1975231459316,277.336669921875,158.69707147174915,139.5,130.46755674555254,275.78569329767595,279.82666015625,91454900,82656000,37026000,35204500,59184000
2022-03-10,155.78807067871094,146.8175048828125,131.6400146484375,277.8777160644531,279.4333190917969,157.6258383019349,148.67449951171875,132.47749079965467,278.86045079071647,284.8166809082031,153.29183663849042,143.97799682617188,130.13206007166875,273.00300025162977,270.1199951171875,157.43911036241218,145.68499755859375,130.4834530154013,275.3771110899081,283.8166809082031,105342000,135062000,27102000,30628000,58648500
2022-03-11,152.06338500976562,145.52450561523438,129.0962677001953,272.5067138671875,265.1166687011719,156.5349734862068,149.6750030517578,132.99787160510658,281.6917889446051,281.26666259765625,151.83735301963387,145.36900329589844,128.85869409083313,271.8839828209792,264.5899963378906,156.1909993742422,149.57449340820312,132.69269500928414,280.18362889463543,280.0666809082031,96970100,68900000,31526000,27209300,67037100
