Ticker,Date,Sentiment,Open,Close,Direction
TSLA,2024-10-01,0.0,262.6700134277344,258.0199890136719,-1
TSLA,2024-10-02,0.0,247.5500030517578,249.02000427246094,1
GOOGL,2024-10-01,0.0,167.10306444107255,166.405517578125,-1
GOOGL,2024-10-02,-0.2263,165.83750220141695,165.2794647216797,-1
