Date,AAPL_Close,AMZN_Close,GOOGL_Close,MSFT_Close,TSLA_Close,AAPL_High,AMZN_High,GOOGL_High,MSFT_High,TSLA_High,AAPL_Low,AMZN_Low,GOOGL_Low,MSFT_Low,TSLA_Low,AAPL_Open,AMZN_Open,GOOGL_Open,MSFT_Open,TSLA_Open,AAPL_Volume,AMZN_Volume,GOOGL_Volume,MSFT_Volume,TSLA_Volume
2023-08-25,177.07821655273438,133.25999450683594,129.10569763183594,318.70806884765625,238.58999633789062,177.6135787817926,133.8699951171875,129.98044101070192,321.05656413544324,239.0,174.31215063473297,130.5800018310547,126.49137208205629,314.5833333396425,230.35000610351562,175.8587694385985,132.47000122070312,128.76771308654853,317.2180314460419,231.30999755859375,51449600,44147500,26762900,21684100,106612200
2023-08-28,178.6446990966797,133.13999938964844,130.2289581298828,319.4185485839844,238.82000732421875,179.04126265908485,133.9499969482422,131.74983558444546,321.83612524691614,244.3800048828125,177.0187642861302,131.85000610351562,129.36414962335698,317.46472649074093,235.35000610351562,178.5455506421133,133.77999877929688,130.52717266697422,321.3526159371164,242.5800018310547,43820700,34108400,20543300,14808500,107673700
2023-08-29,182.54098510742188,134.91000366210938,133.76776123046875,324.0661926269531,257.17999267578125,183.31429463018617,135.13999938964844,135.7558381265067,324.6286605824637,257.4800109863281,177.96061099136716,133.25,131.45164982644576,317.62256478776396,237.77000427246094,178.15889276911417,133.3800048828125,131.45164982644576,317.62256478776396,238.5800018310547,53003900,38646100,43075600,19284600,134047600
2023-08-30,186.04067993164062,135.07000732421875,135.0699462890625,324.441162109375,256.8999938964844,186.2389768045478,135.67999267578125,135.46755559265864,325.447659911419,260.510009765625,183.15564801714163,133.9199981689453,133.27073916338247,322.1321164830898,250.58999633789062,183.35392976212134,134.92999267578125,133.97649795243905,324.32275414606715,254.1999969482422,60813900,36137000,28315800,15222100,121988400
2023-08-31,186.2588348388672,138.00999450683594,135.35821533203125,323.4248352050781,258.0799865722656,187.49811492403117,138.7899932861328,137.17730753469533,326.5331651614873,261.17999267578125,185.87218005741326,135.0,134.98047586337722,322.45778650386836,255.0500030517578,186.2290933270577,135.05999755859375,135.19916553809026,324.8457912046821,255.97999572753906,60794500,58781300,30053800,26411000,108861700
2023-09-01,187.83518981933594,138.1199951171875,134.85125732421875,324.31292724609375,245.00999450683594,188.2912363685708,139.9600067138672,136.64052953536765,327.5988691949411,259.0799865722656,186.66530168187228,136.8800048828125,134.04608862115742,322.45778856177515,242.00999450683594,187.86493132785435,139.4600067138672,136.64052953536765,326.9278705558269,257.260009765625,45732600,40948300,21524600,14931200,132272500
2023-09-05,188.0731201171875,137.27000427246094,134.96060180664062,329.13818359375,256.489990234375,188.350717612699,137.8000030517578,135.6067207186216,330.42100680175923,258.0,186.00104769428793,135.82000732421875,133.77769364880288,324.31287838153,244.86000061035156,186.66529992482816,137.72999572753906,134.63256730479986,324.64837765053704,245.0,45280000,40636700,19403100,18553900,129469600
2023-09-06,181.34136962890625,135.36000061035156,133.6584014892578,328.4770812988281,251.9199981689453,187.23043067946264,137.4499969482422,135.71605295992552,330.03616976955755,255.38999938964844,179.91371663144653,134.61000061035156,132.8731027089163,325.81278150242235,245.05999755859375,186.7842777718091,136.32000732421875,135.20909886838623,328.9704679193529,255.13999938964844,81755800,41785500,18684500,17535800,116959800
2023-09-07,176.03724670410156,137.85000610351562,134.45361328125,325.54638671875,251.49000549316406,176.6816813943478,138.02999877929688,134.77171281374333,328.67444125152036,252.80999755859375,172.05171790486162,133.16000366210938,132.15738726441325,324.67802138664604,243.27000427246094,173.67765269377628,133.89999389648438,132.79357116157937,326.9081387064647,245.07000732421875,112488800,48498900,18844300,18381000,115312900
2023-09-08,176.65191650390625,138.22999572753906,135.5669708251953,329.8486633300781,248.5,178.69426259870855,138.85000610351562,135.84530038220512,331.71367911357964,256.5199890136719,176.26526175899272,136.75,134.04609318588336,325.1022866960148,246.6699981689453,176.82047189213844,136.86000061035156,134.10573306698214,325.72395862384866,251.22000122070312,65551300,38348200,23558300,19530100,118367700
2023-09-11,177.82180786132812,143.10000610351562,136.10372924804688,333.47015380859375,273.5799865722656,178.7537488345446,143.6199951171875,136.66038829795693,333.94381580860636,274.8500061035156,175.81912716109244,138.63999938964844,134.9804610573074,330.9933433198764,260.6099853515625,178.52572555213936,138.75,135.72598982082727,332.7794004894833,264.2699890136719,58953100,56764500,20763400,16583300,174667900
2023-09-12,174.78807067871094,141.22999572753906,134.53314208984375,327.3817443847656,267.4800109863281,178.58522677149583,143.0,136.05401950038058,332.33536528300334,278.3900146484375,173.32076725641124,140.61000061035156,134.38404240952485,327.0956018294752,266.6000061035156,177.95071595688535,142.32000732421875,135.44765552071536,331.37819404327416,270.760009765625,90370200,42668500,18405500,17565500,135999900
2023-09-13,172.71595764160156,144.85000610351562,135.89500427246094,331.6150207519531,271.29998779296875,175.77945374423584,144.97999572753906,136.08385883851705,332.3945800625575,274.9800109863281,172.48791926125182,140.8699951171875,133.35025307890763,326.7897151493459,268.1000061035156,174.99622042167854,140.9499969482422,134.28465165631675,326.9278477470877,270.07000732421875,84267900,60465200,20749500,16544400,111673700
2023-09-14,174.23284912109375,144.72000122070312,137.27670288085938,334.2201232910156,276.0400085449219,174.58976234555206,145.86000061035156,137.8731167931153,336.3515270839073,276.7099914550781,172.09136977434392,142.9499969482422,135.42779093400503,332.1182913781519,270.4200134277344,172.50776601489048,145.0800018310547,136.779683703402,334.6641532003969,271.32000732421875,60895800,64033600,24751000,20267000,107709800
2023-09-15,173.50909423828125,140.38999938964844,136.5808563232422,325.852294921875,274.3900146484375,174.9863213204115,143.57000732421875,137.69418953311876,332.93732030579133,278.9800109863281,172.329312484714,140.08999633789062,135.66634290757906,325.28982688834475,271.0,174.96648860625493,142.69000244140625,137.1574003572556,332.46368837349866,277.54998779296875,109205100,102861700,38908400,37666900,133422800
2023-09-18,176.44371032714844,139.97999572753906,137.3860626220703,324.7076110839844,265.2799987792969,177.8416216381054,141.75,138.33039612819755,326.0298836572718,271.44000244140625,174.65914430549358,139.22000122070312,135.7955950144073,322.043311199017,263.760009765625,174.96648328990372,140.47999572753906,135.7955950144073,323.4642671224755,271.1600036621094,67257600,42823500,21861300,16834200,101543300
2023-09-19,177.5343017578125,137.6300048828125,137.21705627441406,324.30303955078125,266.5,178.08949677364237,138.83999633789062,137.58486080246306,325.0332722714447,267.8500061035156,175.61093679016653,135.55999755859375,135.80552354379557,320.2178137413672,261.20001220703125,175.99759154247158,138.6999969482422,136.60075731018102,321.8558610357087,264.3500061035156,51826900,61482500,20353700,16505900,103704000
2023-09-20,173.98500061035156,135.2899932861328,132.9427032470703,316.5272216796875,262.5899963378906,178.1588871164402,139.3699951171875,137.25682633323285,325.2305683428645,273.92999267578125,173.89576095445636,135.1999969482422,132.82340832300335,316.2706811307051,262.4599914550781,177.72265814247962,138.5500030517578,137.25682633323285,325.1516397386993,267.0400085449219,58436200,46263700,29927500,21436500,122514600
2023-09-21,172.43833923339844,129.3300018310547,129.66236877441406,315.3036193847656,255.6999969482422,174.7880239939856,132.24000549316406,131.44169080160074,321.04664627170126,260.8599853515625,172.368947431924,129.30999755859375,129.29457942734587,310.8335382769588,254.2100067138672,173.05303229407238,131.94000244140625,130.65640715487683,315.03720147868455,257.8500061035156,63047900,70234800,31488700,35529500,119531000
2023-09-22,173.29100036621094,129.1199951171875,129.47349548339844,312.8170166015625,244.8800048828125,175.5613698772793,132.02999877929688,131.24288253838307,317.1982925065449,257.7900085449219,172.55735626241975,128.52000427246094,128.82737662105137,311.96837589582117,244.47999572753906,173.17203432298646,131.11000061035156,129.98044958303285,317.0700071580314,257.3999938964844,56725400,59904300,26397300,21447900,127524100
2023-09-25,174.56993103027344,131.27000427246094,130.328369140625,313.3399963378906,246.99000549316406,175.4522977411563,131.77999877929688,130.38800901498652,313.4682816827549,247.10000610351562,172.65647493916612,128.77000427246094,128.19119274762159,310.83358377019226,238.30999755859375,172.70604916227998,129.36000061035156,129.056001261507,312.40254967459873,243.3800048828125,46172700,46017800,20094600,17836000,104636600
2023-09-26,170.48526000976562,125.9800033569336,127.80352020263672,308.01141357421875,244.1199951171875,173.6974637546494,130.38999938964844,129.58284220679568,311.7019358551928,249.5500030517578,170.18782981503577,125.27999877929688,126.46156233925063,305.9194290098136,241.66000366210938,173.32073296072448,130.1199951171875,128.99636321019003,310.9618559252266,242.97999572753906,64588900,73048200,25718700,26297600,101993600
2023-09-27,168.96839904785156,125.9800033569336,129.76177978515625,308.6528015136719,240.5,171.55601650720317,127.4800033569336,130.11963425371414,310.14280858680456,245.3300018310547,167.60024410157126,124.12999725341797,127.80353788445824,305.5937985326922,234.5800018310547,171.1396202080804,125.76000213623047,127.80353788445824,308.1692621621633,244.25999450683594,66921800,66553400,22746500,19410100,136597200
2023-09-28,169.22616577148438,125.9800033569336,131.52120971679688,309.4915771484375,246.3800048828125,170.55467030699108,126.58000183105469,132.50531312916033,311.3072363180732,247.5500030517578,166.18248681585104,123.04000091552734,129.0162288648489,305.3569948142918,238.64999389648438,167.88773731405627,124.04000091552734,129.0659338151782,306.8766039400304,240.02000427246094,56294400,54555000,22513100,19683600,117058900
2023-09-29,169.74171447753906,127.12000274658203,130.07986450195312,311.57366943359375,250.22000122070312,171.58576377459906,129.14999389648438,133.25084939728868,315.24446731366316,254.77000427246094,168.87916528625075,126.31999969482422,129.58284530626597,310.81386483371,246.35000610351562,170.5447655196905,128.1999969482422,132.48543558894025,313.5472160333315,250.0,51814200,62377600,30848100,24140300,128346200
2023-10-02,172.25990295410156,129.4600067138672,133.37014770507812,317.5436096191406,251.60000610351562,172.80518912572896,130.47000122070312,133.61865733749448,317.63244570904936,254.27999877929688,169.46408028935463,126.54000091552734,130.3880321160817,311.0111757318988,242.6199951171875,169.75160169254372,127.27999877929688,130.4278021512499,312.0966322948684,244.80999755859375,52164500,48029700,22288000,20570000,123810400
2023-10-03,170.92149353027344,124.72000122070312,131.6405029296875,309.244873046875,246.52999877929688,172.14095595651972,128.52000427246094,133.4595950895132,317.1390587858504,250.02000427246094,169.3550569046923,124.25,131.0540238921424,307.09368454641833,244.4499969482422,170.78269477378157,128.05999755859375,133.1415106769451,316.5864380793077,248.61000061035156,49594600,51565000,22989400,21033500,101985300
2023-10-04,172.1707000732422,127.0,134.43377685546875,314.7412109375,261.1600036621094,172.71598631340495,127.36000061035156,134.7618113919665,315.80694299104033,261.8599853515625,169.5037670214799,125.68000030517578,131.73992575334603,309.84682368319505,247.60000610351562,169.62273306372262,126.05999755859375,131.99837031187866,309.87642567835275,248.13999938964844,53020300,44203900,26752300,20720100,129721600
